table_id,Category,Universe,Table Name,Measure
B07007,Residence Last Year - Migration,population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY CITIZENSHIP STATUS FOR CURRENT RESIDENCE IN THE UNITED STATES,Individuals
B07007PR,Residence Last Year - Migration,population 1 year and over in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY CITIZENSHIP STATUS FOR CURRENT RESIDENCE IN PUERTO RICO,Individuals
B07008,Residence Last Year - Migration,population 15 years and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY MARITAL STATUS FOR CURRENT RESIDENCE IN THE UNITED STATES,Individuals
B07008PR,Residence Last Year - Migration,population 15 years and over in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY MARITAL STATUS FOR CURRENT RESIDENCE IN PUERTO RICO,Individuals
B07009,Residence Last Year - Migration,population 25 years and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY EDUCATIONAL ATTAINMENT FOR CURRENT RESIDENCE IN THE UNITED STATES,Individuals
B07009PR,Residence Last Year - Migration,population 25 years and over in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY EDUCATIONAL ATTAINMENT FOR CURRENT RESIDENCE IN PUERTO RICO,Individuals
B07010,Residence Last Year - Migration,population 15 years and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS  FOR CURRENT RESIDENCE IN THE UNITED STATES,Individuals
B07010PR,Residence Last Year - Migration,population 15 years and over in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS  FOR CURRENT RESIDENCE IN PUERTO RICO,Individuals
B07011,Residence Last Year - Migration,population 15 years and over in the united states with income,MEDIAN INCOME IN THE PAST 12 MONTHS  BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES,Median Income (Individual)
B07011PR,Residence Last Year - Migration,population 15 years and over in puerto rico with income,MEDIAN INCOME IN THE PAST 12 MONTHS  BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN PUERTO RICO,Median Income (Individual)
B07012,Residence Last Year - Migration,population 1 year and over in the united states for whom poverty status is determined,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY POVERTY STATUS IN THE PAST 12 MONTHS FOR CURRENT RESIDENCE IN THE UNITED STATES,Individuals
B07012PR,Residence Last Year - Migration,population 1 year and over in puerto rico for whom poverty status is determined,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY POVERTY STATUS IN THE PAST 12 MONTHS FOR CURRENT RESIDENCE IN PUERTO RICO,Individuals
B07013,Residence Last Year - Migration,population 1 year and over in households in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY TENURE FOR CURRENT RESIDENCE IN THE UNITED STATES,Individuals
B07013PR,Residence Last Year - Migration,population 1 year and over in households in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY TENURE FOR CURRENT RESIDENCE IN PUERTO RICO,Individuals
B07101,Residence Last Year - Migration,population 1 year and over in the united states,MOVERS BETWEEN REGIONS IN THE UNITED STATES,Individuals
B07201,Residence Last Year - Migration,population 1 year and over living in a metropolitan statistical area in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--METROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES,Individuals
B07201PR,Residence Last Year - Migration,population 1 year and over living in a metropolitan statistical area in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--METROPOLITAN STATISTICAL AREA LEVEL IN PUERTO RICO,Individuals
B07202,Residence Last Year - Migration,population 1 year and over living in a micropolitan statistical area in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--MICROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES,Individuals
B07202PR,Residence Last Year - Migration,population 1 year and over living in a micropolitan statistical area in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--MICROPOLITAN STATISTICAL AREA LEVEL IN PUERTO RICO,Individuals
B07203,Residence Last Year - Migration,population 1 year and over not living in a metropolitan or micropolitan statistical area in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--NOT METROPOLITAN OR MICROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES,Individuals
B07203PR,Residence Last Year - Migration,population 1 year and over not living in a metropolitan or micropolitan statistical area in puerto rico,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--NOT METROPOLITAN OR MICROPOLITAN STATISTICAL AREA LEVEL IN PUERTO RICO,Individuals
B07204,Residence Last Year - Migration,population 1 year and over in the united states,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--STATE, COUNTY AND PLACE LEVEL IN THE UNITED STATES",Individuals
B07204PR,Residence Last Year - Migration,population 1 year and over in puerto rico,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--STATE, COUNTY AND PLACE LEVEL IN PUERTO RICO",Individuals
B07401,Residence Last Year - Migration,population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Individuals
B07401PR,Residence Last Year - Migration,population 1 year and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Individuals
B07402,Residence Last Year - Migration,population 1 year and over in the united states,MEDIAN AGE BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Median Age
B07402PR,Residence Last Year - Migration,population 1 year and over,MEDIAN AGE BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Median Age
B07403,Residence Last Year - Migration,population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY SEX FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Individuals
B07403PR,Residence Last Year - Migration,population 1 year and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY SEX FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Individuals
B07404A,Residence Last Year - Migration,white alone population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Individuals
B07404A,Residence Last Year - Migration,white alone population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE  FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Individuals
B07404APR,Residence Last Year - Migration,white alone population 1 year and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Individuals
B07404APR,Residence Last Year - Migration,white alone population 1 year and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE  FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Individuals
B07404B,Residence Last Year - Migration,black or african american alone population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Individuals
B07404B,Residence Last Year - Migration,black or african american alone population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE  FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Individuals
B07404BPR,Residence Last Year - Migration,black or african american alone population 1 year and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Individuals
B07404BPR,Residence Last Year - Migration,black or african american alone population 1 year and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE  FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Individuals
B07404C,Residence Last Year - Migration,american indian and alaska native alone population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE  FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Individuals
B07404C,Residence Last Year - Migration,american indian and alaskan native alone population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Individuals
B07404CPR,Residence Last Year - Migration,american indian and alaska native alone population 1 year and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Individuals
B07404CPR,Residence Last Year - Migration,american indian and alaska native alone population 1 year and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE  FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Individuals
B07404D,Residence Last Year - Migration,asian alone population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Individuals
B07404D,Residence Last Year - Migration,asian alone population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE  FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Individuals
B07404DPR,Residence Last Year - Migration,asian alone population 1 year and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Individuals
B07404DPR,Residence Last Year - Migration,asian alone population 1 year and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE  FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Individuals
B07404E,Residence Last Year - Migration,native hawaiian and other pacific islander alone population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Individuals
B07404E,Residence Last Year - Migration,native hawaiian and other pacific islander alone population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE  FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Individuals
B07404EPR,Residence Last Year - Migration,native hawaiian and other pacific islander alone population 1 year and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Individuals
B07404EPR,Residence Last Year - Migration,native hawaiian and other pacific islander alone population 1 year and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE  FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Individuals
B07404F,Residence Last Year - Migration,some other race alone population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Individuals
B07404F,Residence Last Year - Migration,some other race alone population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE  FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Individuals
B07404FPR,Residence Last Year - Migration,some other race alone population 1 year and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Individuals
B07404FPR,Residence Last Year - Migration,some other race alone population 1 year and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE  FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Individuals
B07404G,Residence Last Year - Migration,two or more races population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Individuals
B07404G,Residence Last Year - Migration,two or more races population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE  FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Individuals
B07404GPR,Residence Last Year - Migration,two or more races population 1 year and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Individuals
B07404GPR,Residence Last Year - Migration,two or more races population 1 year and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE  FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Individuals
B07404H,Residence Last Year - Migration,"white alone, not hispanic or latino population 1 year and over in the united states",GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Individuals
B07404H,Residence Last Year - Migration,"white alone, not hispanic or latino population 1 year and over in the united states",GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE  FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Individuals
B07404HPR,Residence Last Year - Migration,"white alone, not hispanic or latino population 1 year and over",GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Individuals
B07404HPR,Residence Last Year - Migration,"white alone, not hispanic or latino population 1 year and over",GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE  FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Individuals
B07404I,Residence Last Year - Migration,hispanic or latino population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Individuals
B07404I,Residence Last Year - Migration,hispanic or latino population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE  FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Individuals
B07404IPR,Residence Last Year - Migration,hispanic or latino population 1 year and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR  FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Individuals
B07404IPR,Residence Last Year - Migration,hispanic or latino population 1 year and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY RACE  FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Individuals
B07407,Residence Last Year - Migration,population 1 year and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY CITIZENSHIP STATUS FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Individuals
B07407PR,Residence Last Year - Migration,population 1 year and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY CITIZENSHIP STATUS FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Individuals
B07408,Residence Last Year - Migration,population 15 years and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY MARITAL STATUS FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Individuals
B07408PR,Residence Last Year - Migration,population 15 years and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY MARITAL STATUS FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Individuals
B07409,Residence Last Year - Migration,population 25 years and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY EDUCATIONAL ATTAINMENT FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Individuals
B07409PR,Residence Last Year - Migration,population 25 years and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY EDUCATIONAL ATTAINMENT FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Individuals
B07410,Residence Last Year - Migration,population 15 years and over in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS  FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Individuals
B07410PR,Residence Last Year - Migration,population 15 years and over,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS  FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Individuals
B07411,Residence Last Year - Migration,population 15 years and over in the united states with income,MEDIAN INCOME IN THE PAST 12 MONTHS  BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Median Income (Individual)
B07411PR,Residence Last Year - Migration,population 15 years and over with income,MEDIAN INCOME IN THE PAST 12 MONTHS  BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Median Income (Individual)
B07411PR,Residence Last Year - Migration,population 15 years and over with income in the past 12 months,MEDIAN INCOME IN THE PAST 12 MONTHS  BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Median Income (Individual)
B07412,Residence Last Year - Migration,population 1 year and over in the united states for whom poverty status is determined,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY POVERTY STATUS IN THE PAST 12 MONTHS FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Individuals
B07412PR,Residence Last Year - Migration,population 1 year and over for whom poverty status is determined,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY POVERTY STATUS IN THE PAST 12 MONTHS FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Individuals
B07413,Residence Last Year - Migration,population 1 year and over in households in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY TENURE FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES,Individuals
B07413PR,Residence Last Year - Migration,population 1 year and over in households,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY TENURE FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO,Individuals
B08006,Journey to Work,workers 16 years and over,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,Individuals
B08007,Journey to Work,workers 16 years and over,SEX OF WORKERS BY PLACE OF WORK--STATE AND COUNTY LEVEL,Individuals
B08008,Journey to Work,workers 16 years and over,SEX OF WORKERS BY PLACE OF WORK--PLACE LEVEL,Individuals
B08009,Journey to Work,workers 16 years and over,SEX OF WORKERS BY PLACE OF WORK--MINOR CIVIL DIVISION LEVEL FOR 12 SELECTED STATES,Individuals
B08011,Journey to Work,workers 16 years and over who did not work at home,SEX OF WORKERS BY TIME LEAVING HOME TO GO TO WORK,Individuals
B08012,Journey to Work,workers 16 years and over who did not work at home,SEX OF WORKERS BY TRAVEL TIME TO WORK,Individuals
B08013,Journey to Work,workers 16 years and over who did not work at home,AGGREGATE TRAVEL TIME TO WORK  OF WORKERS BY SEX,Aggregate Travel Time
B08014,Journey to Work,workers 16 years and over in households,SEX OF WORKERS BY VEHICLES AVAILABLE,Individuals
B08015,Journey to Work,"workers whose means of transportation is car, truck, or van",AGGREGATE NUMBER OF VEHICLES  USED IN COMMUTING BY WORKERS 16 YEARS AND OVER BY SEX,Aggregate Number of Vehicles
B08016,Journey to Work,workers 16 years and over living in a metropolitan statistical area,PLACE OF WORK FOR WORKERS 16 YEARS AND OVER--METROPOLITAN STATISTICAL AREA LEVEL,Individuals
B08017,Journey to Work,workers 16 years and over living in a micropolitan statistical area,PLACE OF WORK FOR WORKERS 16 YEARS AND OVER--MICROPOLITAN STATISTICAL AREA LEVEL,Individuals
B08018,Journey to Work,workers 16 years and over not living in a metropolitan or micropolitan statistical area,PLACE OF WORK FOR WORKERS 16 YEARS AND OVER--NOT METROPOLITAN OR MICROPOLITAN STATISTICAL AREA LEVEL,Individuals
B08101,Journey to Work,workers 16 years and over,MEANS OF TRANSPORTATION TO WORK BY AGE,Individuals
B08103,Journey to Work,workers 16 years and over,MEDIAN AGE BY MEANS OF TRANSPORTATION TO WORK,Median Age
B08105A,Journey to Work,white alone workers 16 years and over,MEANS OF TRANSPORTATION TO WORK,Individuals
B08105B,Journey to Work,black or african american alone workers 16 years and over,MEANS OF TRANSPORTATION TO WORK,Individuals
B08105C,Journey to Work,american indian and alaska native alone workers 16 years and over,MEANS OF TRANSPORTATION TO WORK,Individuals
B08105D,Journey to Work,asian alone workers 16 years and over,MEANS OF TRANSPORTATION TO WORK,Individuals
B08105E,Journey to Work,native hawaiian and other pacific islander alone workers 16 years and over,MEANS OF TRANSPORTATION TO WORK,Individuals
B08105F,Journey to Work,some other race alone workers 16 years and over,MEANS OF TRANSPORTATION TO WORK,Individuals
B08105G,Journey to Work,two or more races workers 16 years and over,MEANS OF TRANSPORTATION TO WORK,Individuals
B08105H,Journey to Work,"white alone, not hispanic or latino workers 16 years and over",MEANS OF TRANSPORTATION TO WORK,Individuals
B08105I,Journey to Work,hispanic or latino workers 16 years and over,MEANS OF TRANSPORTATION TO WORK,Individuals
B08111,Journey to Work,workers 16 years and over,MEANS OF TRANSPORTATION TO WORK BY CITIZENSHIP STATUS,Individuals
B08113,Journey to Work,workers 16 years and over,MEANS OF TRANSPORTATION TO WORK BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH,Individuals
B08119,Journey to Work,workers 16 years and over with earnings,MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS,Individuals
B08121,Journey to Work,workers 16 years and over with earnings,MEDIAN EARNINGS IN THE PAST 12 MONTHS  BY MEANS OF TRANSPORTATION TO WORK,Median Earnings (Individual)
B08122,Journey to Work,workers 16 years and over for whom poverty status is determined,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS,Individuals
B08124,Journey to Work,workers 16 years and over,MEANS OF TRANSPORTATION TO WORK BY OCCUPATION,Individuals
B08126,Journey to Work,workers 16 years and over,MEANS OF TRANSPORTATION TO WORK BY INDUSTRY,Individuals
B08128,Journey to Work,workers 16 years and over,MEANS OF TRANSPORTATION TO WORK BY CLASS OF WORKER,Individuals
B08130,Journey to Work,workers 16 years and over,MEANS OF TRANSPORTATION TO WORK BY PLACE OF WORK--STATE AND COUNTY LEVEL,Individuals
B08131,Journey to Work,workers 16 years and over who did not work at home,AGGREGATE TRAVEL TIME TO WORK  OF WORKERS BY PLACE OF WORK--STATE AND COUNTY LEVEL,Aggregate Travel Time
B08132,Journey to Work,workers 16 years and over who did not work at home,MEANS OF TRANSPORTATION TO WORK BY TIME LEAVING HOME TO GO TO WORK,Individuals
B08133,Journey to Work,workers 16 years and over who did not work at home,AGGREGATE TRAVEL TIME TO WORK  OF WORKERS BY TIME LEAVING HOME TO GO TO WORK,Aggregate Travel Time
B08134,Journey to Work,workers 16 years and over who did not work at home,MEANS OF TRANSPORTATION TO WORK BY TRAVEL TIME TO WORK,Individuals
B08135,Journey to Work,workers 16 years and over who did not work at home,AGGREGATE TRAVEL TIME TO WORK  OF WORKERS BY TRAVEL TIME TO WORK,Aggregate Travel Time
B08136,Journey to Work,workers 16 years and over who did not work at home,AGGREGATE TRAVEL TIME TO WORK  OF WORKERS BY MEANS OF TRANSPORTATION TO WORK,Aggregate Travel Time
B08137,Journey to Work,workers 16 years and over in households,MEANS OF TRANSPORTATION TO WORK BY TENURE,Individuals
B08141,Journey to Work,workers 16 years and over in households,MEANS OF TRANSPORTATION TO WORK BY VEHICLES AVAILABLE,Individuals
B08201,Journey to Work,households,HOUSEHOLD SIZE BY VEHICLES AVAILABLE,Households
B08202,Journey to Work,households,HOUSEHOLD SIZE BY NUMBER OF WORKERS IN HOUSEHOLD,Households
B08203,Journey to Work,households,NUMBER OF WORKERS IN HOUSEHOLD BY VEHICLES AVAILABLE,Individuals
B08301,Journey to Work,workers 16 years and over,MEANS OF TRANSPORTATION TO WORK,Individuals
B08302,Journey to Work,workers 16 years and over who did not work at home,TIME LEAVING HOME TO GO TO WORK,Individuals
B08303,Journey to Work,workers 16 years and over who did not work at home,TRAVEL TIME TO WORK,Individuals
B08406,Journey to Work,workers 16 years and over,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,Individuals
B08412,Journey to Work,workers 16 years and over who did not work at home,SEX OF WORKERS BY TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY,Individuals
B08501,Journey to Work,workers 16 years and over,MEANS OF TRANSPORTATION TO WORK BY AGE FOR WORKPLACE GEOGRAPHY,Individuals
B08503,Journey to Work,workers 16 years and over,MEDIAN AGE BY MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,Median Age
B08505A,Journey to Work,white alone workers 16 years and over,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,Individuals
B08505B,Journey to Work,black or african american alone workers 16 years and over,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,Individuals
B08505C,Journey to Work,american indian and alaska native alone workers 16 years and over,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,Individuals
B08505D,Journey to Work,asian alone workers 16 years and over,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,Individuals
B08505E,Journey to Work,native hawaiian and other pacific islander alone workers 16 years and over,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,Individuals
B08505F,Journey to Work,some other race alone workers 16 years and over,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,Individuals
B08505G,Journey to Work,two or more races workers 16 years and over,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,Individuals
B08505H,Journey to Work,"white alone, not hispanic or latino workers 16 years and over",MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,Individuals
B08505I,Journey to Work,hispanic or latino workers 16 years and over,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,Individuals
B08511,Journey to Work,workers 16 years and over,MEANS OF TRANSPORTATION TO WORK BY CITIZENSHIP STATUS FOR WORKPLACE GEOGRAPHY,Individuals
B08513,Journey to Work,workers 16 years and over,MEANS OF TRANSPORTATION TO WORK BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR WORKPLACE GEOGRAPHY,Individuals
B08519,Journey to Work,workers 16 years and over with earnings,MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS  FOR WORKPLACE GEOGRAPHY,Individuals
B08521,Journey to Work,workers 16 years and over with earnings,MEDIAN EARNINGS IN THE PAST 12 MONTHS  BY MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,Median Earnings (Individual)
B08522,Journey to Work,workers 16 years and over for whom poverty status is determined,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS FOR WORKPLACE GEOGRAPHY,Individuals
B08524,Journey to Work,workers 16 years and over,MEANS OF TRANSPORTATION TO WORK BY OCCUPATION FOR WORKPLACE GEOGRAPHY,Individuals
B08526,Journey to Work,workers 16 years and over,MEANS OF TRANSPORTATION TO WORK BY INDUSTRY FOR WORKPLACE GEOGRAPHY,Individuals
B08528,Journey to Work,workers 16 years and over,MEANS OF TRANSPORTATION TO WORK BY CLASS OF WORKER FOR WORKPLACE GEOGRAPHY,Individuals
B08532,Journey to Work,workers 16 years and over who did not work at home,MEANS OF TRANSPORTATION TO WORK BY TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY,Individuals
B08534,Journey to Work,workers 16 years and over who did not work at home,MEANS OF TRANSPORTATION TO WORK BY TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY,Individuals
B08536,Journey to Work,workers 16 years and over who did not work at home,AGGREGATE TRAVEL TIME TO WORK  OF WORKERS BY MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,Aggregate Travel Time
B08537,Journey to Work,workers 16 years and over in households,MEANS OF TRANSPORTATION TO WORK BY TENURE FOR WORKPLACE GEOGRAPHY,Individuals
B08541,Journey to Work,workers 16 years and over in households,MEANS OF TRANSPORTATION TO WORK BY VEHICLES AVAILABLE FOR WORKPLACE GEOGRAPHY,Individuals
B08601,Journey to Work,workers 16 years and over,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY,Individuals
