B00001,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,,,,,,,,
B00001,dimensions,,,,,,,,
B00001,values,['Total '],,,,,,,
B10057,dimensions,,Marital Status of Grandparents,Grandparents Responsibility for Grandchildren,Age of Grandparent,,,,
B10057,values,['Total:'],"['Unmarried (never married, widowed, and divorced):', 'Now married (including separated and spouse absent):']","['', 'Grandparent not responsible for own grandchildren under 18 years', 'Grandparent responsible for own grandchildren under 18 years:']","['', '60 years and over', '30 to 59 years ']",,,,
B10058,EMPLOYMENT STATUS OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT,,,,,,,,
B10058,dimensions,,Employment Status of Grandparents,Grandparents Responsibility for Grandchildren,Age of Grandparent,,,,
B10058,values,['Total:'],"['Not in labor force:', 'In labor force:']","['', ' Grandparent not responsible for own grandchildren under 18 years ', ' Grandparent responsible for own grandchildren under 18 years:']","[' 30 to 59 years ', '', ' 60 years and over ']",,,,
B10059,POVERTY STATUS IN THE PAST 12 MONTHS OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT,,,,,,,,
B10059,dimensions,,Poverty Status,Grandparents Responsibility for Grandchildren,Age of Grandparent,,,,
B10059,values,['Total:'],"['Income in the past 12 months at or above poverty level:', 'Income in the past 12 months below poverty level:']","['', 'Grandparent not responsible for own grandchildren under 18 years', 'Grandparent responsible for own grandchildren under 18 years:']","['', '60 years and over', '30 to 59 years']",,,,
B10063,HOUSEHOLDS WITH GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND PRESENCE OF PARENT OF GRANDCHILDREN,,,,,,,,
B10063,dimensions,,Household type,Grandparents Responsibility for Grandchildren,,,,,
B10063,values,['Total:'],"['Household without grandparents living with grandchildren', 'Household with grandparents living with grandchildren:']","['', 'Household with grandparent responsible for own grandchildren under 18 years:', 'Household with grandparent not responsible for own grandchildren under 18 years']","['', 'Other grandparents', 'Householder or spouse with no parent of grandchildren present']",,,,
B11001,HOUSEHOLD TYPE ,,,,,,,,
B11001,dimensions,,Household type,Household type,Household type,,,,
B11001,values,['Total:'],"['Nonfamily households:', 'Family households:']","['', 'Married-couple family', 'Householder living alone', 'Other family:', 'Householder not living alone']","['', 'Male householder, no wife present', 'Female householder, no husband present']",,,,
B11001A,HOUSEHOLD TYPE  ,,,,,,,,
B11001A,dimensions,,Household type,Household type,Household type,,,,
B11001A,values,['Total:'],"['Nonfamily households:', 'Family households:']","['', 'Married-couple family', 'Householder living alone', 'Other family:', 'Householder not living alone']","['', 'Male householder, no wife present', 'Female householder, no husband present']",,,,
B11001B,HOUSEHOLD TYPE  ,,,,,,,,
B11001B,dimensions,,Household type,Household type,Household type,,,,
B11001B,values,['Total:'],"['Nonfamily households:', 'Family households:']","['', 'Married-couple family', 'Householder living alone', 'Other family:', 'Householder not living alone']","['', 'Male householder, no wife present', 'Female householder, no husband present']",,,,
B11001C,HOUSEHOLD TYPE  ,,,,,,,,
B11001C,dimensions,,Household type,Household type,Household type,,,,
B11001C,values,['Total:'],"['Nonfamily households:', 'Family households:']","['', 'Married-couple family', 'Householder living alone', 'Other family:', 'Householder not living alone']","['', 'Male householder, no wife present', 'Female householder, no husband present']",,,,
B11001D,HOUSEHOLD TYPE  ,,,,,,,,
B11001D,dimensions,,Household type,Household type,Household type,,,,
B11001D,values,['Total:'],"['Nonfamily households:', 'Family households:']","['', 'Married-couple family', 'Householder living alone', 'Other family:', 'Householder not living alone']","['', 'Male householder, no wife present', 'Female householder, no husband present']",,,,
B11001E,HOUSEHOLD TYPE  ,,,,,,,,
B11001E,dimensions,,Household type,Household type,Household type,,,,
B11001E,values,['Total:'],"['Nonfamily households:', 'Family households:']","['', 'Married-couple family', 'Householder living alone', 'Other family:', 'Householder not living alone']","['', 'Male householder, no wife present', 'Female householder, no husband present']",,,,
B11001F,HOUSEHOLD TYPE  ,,,,,,,,
B11001F,dimensions,,Household type,Household type,Household type,,,,
B11001F,values,['Total:'],"['Nonfamily households:', 'Family households:']","['', 'Married-couple family', 'Householder living alone', 'Other family:', 'Householder not living alone']","['', 'Male householder, no wife present', 'Female householder, no husband present']",,,,
B11001G,HOUSEHOLD TYPE  ,,,,,,,,
B11001G,dimensions,,Household type,Household type,Household type,,,,
B11001G,values,['Total:'],"['Nonfamily households:', 'Family households:']","['', 'Married-couple family', 'Householder living alone', 'Other family:', 'Householder not living alone']","['', 'Male householder, no wife present', 'Female householder, no husband present']",,,,
B11001H,HOUSEHOLD TYPE  ,,,,,,,,
B11001H,dimensions,,"Household type	Household type	Household type",,,,,,
B11001H,values,['Total:'],"['Nonfamily households:', 'Family households:']","['', 'Married-couple family', 'Householder living alone', 'Other family:', 'Householder not living alone']","['', 'Male householder, no wife present', 'Female householder, no husband present']",,,,
B11001I,HOUSEHOLD TYPE  ,,,,,,,,
B11001I,dimensions,,Household type,Household type,Household type,,,,
B11001I,values,['Total:'],"['Nonfamily households:', 'Family households:']","['', 'Married-couple family', 'Householder living alone', 'Other family:', 'Householder not living alone']","['', 'Male householder, no wife present', 'Female householder, no husband present']",,,,
B11002,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS,,,,,,,,
B11002,dimensions,,Household type,Household type,Household type,,,,
B11002,values,['Total:'],"['In nonfamily households', 'In family households:']","['', 'In married-couple family:', 'In male householder, no wife present, family:', 'In female householder, no husband present, family:']","['', ' Relatives', ' Nonrelatives']",,,,
B11002A,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS ,,,,,,,,
B11002A,dimensions,,Household type,Household type,Household type,,,,
B11002A,values,['Total:'],"['In nonfamily households', 'In family households:']","['', 'In married-couple family:', 'In male householder, no wife present, family:', 'In female householder, no husband present, family:']","['', ' Relatives', ' Nonrelatives']",,,,
B11002B,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS ,,,,,,,,
B11002B,dimensions,,Household type,Household type,Household type,,,,
B11002B,values,['Total:'],"['In nonfamily households', 'In family households:']","['', 'In married-couple family:', 'In male householder, no wife present, family:', 'In female householder, no husband present, family:']","['', ' Relatives', ' Nonrelatives']",,,,
B11002C,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS ,,,,,,,,
B11002C,dimensions,,Household type,Household type,Household type,,,,
B11002C,values,['Total:'],"['In nonfamily households', 'In family households:']","['', 'In married-couple family:', 'In male householder, no wife present, family:', 'In female householder, no husband present, family:']","['', ' Relatives', ' Nonrelatives']",,,,
B11002D,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS ,,,,,,,,
B11002D,dimensions,,Household type,Household type,Household type,,,,
B11002D,values,['Total:'],"['In nonfamily households', 'In family households:']","['', 'In married-couple family:', 'In male householder, no wife present, family:', 'In female householder, no husband present, family:']","['', ' Relatives', ' Nonrelatives']",,,,
B11002E,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS ,,,,,,,,
B11002E,dimensions,,Household type,Household type,Household type,,,,
B11002E,values,['Total:'],"['In nonfamily households', 'In family households:']","['', 'In married-couple family:', 'In male householder, no wife present, family:', 'In female householder, no husband present, family:']","['', ' Relatives', ' Nonrelatives']",,,,
B11002F,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS ,,,,,,,,
B11002F,dimensions,,Household type,Household type,Household type,,,,
B11002F,values,['Total:'],"['In nonfamily households', 'In family households:']","['', 'In married-couple family:', 'In male householder, no wife present, family:', 'In female householder, no husband present, family:']","['', ' Relatives', ' Nonrelatives']",,,,
B11002G,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS ,,,,,,,,
B11002G,dimensions,,Household type,Household type,Household type,,,,
B11002G,values,['Total:'],"['In nonfamily households', 'In family households:']","['', 'In married-couple family:', 'In male householder, no wife present, family:', 'In female householder, no husband present, family:']","['', ' Relatives', ' Nonrelatives']",,,,
B11002H,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS ,,,,,,,,
B11002H,dimensions,,Household type,Household type,Household type,,,,
B11002H,values,['Total:'],"['In nonfamily households', 'In family households:']","['', 'In married-couple family:', 'In male householder, no wife present, family:', 'In female householder, no husband present, family:']","['', ' Relatives', ' Nonrelatives']",,,,
B11002I,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS ,,,,,,,,
B11002I,dimensions,,Household type,Household type,Household type,,,,
B11002I,values,['Total:'],"['In nonfamily households', 'In family households:']","['', 'In married-couple family:', 'In male householder, no wife present, family:', 'In female householder, no husband present, family:']","['', ' Relatives', ' Nonrelatives']",,,,
B11003,FAMILY TYPE BY PRESENCE AND AGE OF OWN CHILDREN UNDER 18 YEARS,,,,,,,,
B11003,dimensions,,Family Type,Household type,Presence of Children,Age of Children,,,
B11003,values,['Total:'],"['Married-couple family:', 'Other family:']","['', 'Female householder, no husband present:', 'Male householder, no wife present:']","['No own children of the householder under 18 years', '', 'With own children of the householder under 18 years:']","['', 'Under 6 years only', '6 to 17 years only', 'Under 6 years and 6 to 17 years']",,,
B11004,FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN UNDER 18 YEARS,,,,,,,,
B11004,dimensions,,Family Type,Household type,Presence of Children,Age of Children,,,
B11004,values,['Total:'],"['Married-couple family:', 'Other family:']","['', 'Female householder, no husband present:', 'Male householder, no wife present:']","['', 'No related children of the householder under 18 years', 'With related children of the householder under 18 years:']","['', 'Under 6 years only', '6 to 17 years only', 'Under 6 years and 6 to 17 years']",,,
B11005,HOUSEHOLDS BY PRESENCE OF PEOPLE UNDER 18 YEARS BY HOUSEHOLD TYPE,,,,,,,,
B11005,dimensions,,Presence of Children,Household type,Household type,Household type,,,
B11005,values,['Total:'],"['Households with no people under 18 years:', 'Households with one or more people under 18 years:']","['Nonfamily households:', '', 'Family households:']","['', 'Male householder', 'Married-couple family', 'Female householder', 'Other family:']","['', 'Male householder, no wife present', 'Female householder, no husband present']",,,
B11006,HOUSEHOLDS BY PRESENCE OF PEOPLE 60 YEARS AND OVER BY HOUSEHOLD TYPE,,,,,,,,
B11006,dimensions,,Presence of People 60 Years and Over,,Family Type,Household type,,,
B11006,values,['Total:'],"['Households with one or more people 60 years and over:', 'Households with no people 60 years and over:']","['', 'Nonfamily households', 'Family households:']","['', 'Married-couple family', 'Other family:']","['', 'Male householder, no wife present', 'Female householder, no husband present']",,,
B11007,"HOUSEHOLDS BY PRESENCE OF PEOPLE 65 YEARS AND OVER, HOUSEHOLD SIZE AND HOUSEHOLD TYPE",,,,,,,,
B11007,dimensions,,Presence of People 65 Years and Over,Household Size,Household type,,,,
B11007,values,['Total:'],"['Households with one or more people 65 years and over:', 'Households with no people 65 years and over:']","['2-or-more-person household:', '', '1-person households', '1-person household']","['', 'Nonfamily households', 'Family households']",,,,
B11009,UNMARRIED-PARTNER HOUSEHOLDS BY SEX OF PARTNER,,,,,,,,
B11009,dimensions,,Household type,Household type,,,,,
B11009,values,['Total:'],"['All other households', 'Unmarried-partner households:']","['', 'Female householder and female partner ', 'Male householder and female partner', 'Female householder and male partner', 'Male householder and male partner']",,,,,
B11010,NONFAMILY HOUSEHOLDS BY SEX OF HOUSEHOLDER BY LIVING ALONE BY AGE OF HOUSEHOLDER,,,,,,,,
B11010,dimensions,,Household type,Household Size,Presence of People 65 Years and Over,,,,
B11010,values,['Total:'],"['Male householder:', 'Female householder:']","['', 'Not living alone:', 'Living alone:']","['', 'Householder 65 years and over', 'Householder 15 to 64 years']",,,,
B11011,HOUSEHOLD TYPE BY UNITS IN STRUCTURE,,,,,,,,
B11011,dimensions,,Household type,Family Type,Household type,Structure Type,,,
B11011,values,['Total:'],"['Nonfamily households:', 'Family households:']","['', 'Married-couple family:', 'Other family:']","['', 'Female householder, no husband present:', 'Male householder, no wife present:']","['', 'Mobile homes and all other types of units', '1-unit structures', '2-or-more-unit structures']",,,
B11013,SUBFAMILY TYPE BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS,,,,,,,,
B11013,dimensions,,Family Type,Presence of Children,,,,,
B11013,values,['Total:'],"['Father-child subfamily', 'Mother-child subfamily', 'Married-couple subfamily:']","['', 'No own children under 18 years', 'With own children under 18 years']",,,,,
B11014,POPULATION IN SUBFAMILIES BY SUBFAMILY TYPE BY RELATIONSHIP,,,,,,,,
B11014,dimensions,,Family Type,Family Type,,,,,
B11014,values,['Total:'],"['In father-child subfamilies:', 'In married-couple subfamilies:', 'In mother-child subfamilies:']","['', 'Child', 'Husband/wife in a subfamily with children', 'Parent', 'Husband/wife in a childless subfamily']",,,,,
B11015,HOUSEHOLDS BY PRESENCE OF NONRELATIVES,,,,,,,,
B11015,dimensions,,Household type,,,,,,
B11015,values,['Total:'],"['Households with one or more nonrelatives', 'Households with no nonrelatives']",,,,,,
B11016,HOUSEHOLD TYPE BY HOUSEHOLD SIZE,,,,,,,,
B11016,dimensions,,Household type,Household Size,,,,,
B11016,values,['Total:'],"['Nonfamily households:', 'Family households:']","['', '5-person household', '4-person household', '7-or-more person household', '6-person household', '3-person household', '1-person household', '2-person household']",,,,,
B11017,MULTIGENERATIONAL HOUSEHOLDS,,,,,,,,
B11017,dimensions,,Multi-generational Household Type,,,,,,
B11017,values,['Total:'],"['Multigenerational households', 'All other households']",,,,,,
B12001,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER,,,,,,,,
B12001,dimensions,,Sex,Marital Status,Marital Status,Marital Status,,,
B12001,values,['Total:'],"['Male:', 'Female:']","['', 'Now married:', 'Widowed', 'Divorced', 'Never married']","['', 'Married, spouse present', 'Married, spouse absent:']","['Separated', '', 'Other']",,,
B12002,SEX BY MARITAL STATUS BY AGE FOR THE POPULATION 15 YEARS AND OVER,,,,,,,,
B12002,dimensions,,Sex,Marital Status,Marital Status,Marital Status,Age,,
B12002,values,['Total:'],"['Male:', 'Female:']","['', 'Divorced:', 'Never married:', 'Now married:', 'Widowed:']","['', 'Married, spouse absent:', 'Married, spouse present:']","['', 'Separated:', 'Other:']","['', '30 to 34 years', '35 to 39 years', '40 to 44 years', '18 and 19 years', '20 to 24 years', '60 to 64 years', '55 to 59 years', '15 to 17 years', '45 to 49 years', '50 to 54 years', '85 years and over', '25 to 29 years', '75 to 84 years', '65 to 74 years']",,
B12002A,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER ,,,,,,,,
B12002A,dimensions,,Sex,Marital Status,,,,,
B12002A,values,['Total:'],"['Male:', 'Female:']","['Separated', '', 'Widowed', 'Divorced ', 'Now married (except separated)', 'Never married']",,,,,
B12002B,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER ,,,,,,,,
B12002B,dimensions,,Sex,Marital Status,,,,,
B12002B,values,['Total:'],"['Male:', 'Female:']","['Separated', '', 'Widowed', 'Divorced ', 'Now married (except separated)', 'Never married']",,,,,
B12002C,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER ,,,,,,,,
B12002C,dimensions,,Sex,Marital Status,,,,,
B12002C,values,['Total:'],"['Male:', 'Female:']","['Separated', '', 'Widowed', 'Divorced ', 'Now married (except separated)', 'Never married']",,,,,
B12002D,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER ,,,,,,,,
B12002D,dimensions,,Sex,Marital Status,,,,,
B12002D,values,['Total:'],"['Male:', 'Female:']","['Separated', '', 'Widowed', 'Divorced ', 'Now married (except separated)', 'Never married']",,,,,
B12002E,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER ,,,,,,,,
B12002E,dimensions,,Sex,Marital Status,,,,,
B12002E,values,['Total:'],"['Male:', 'Female:']","['Separated', '', 'Widowed', 'Divorced ', 'Now married (except separated)', 'Never married']",,,,,
B12002F,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER ,,,,,,,,
B12002F,dimensions,,Sex,Marital Status,,,,,
B12002F,values,['Total:'],"['Male:', 'Female:']","['Separated', '', 'Widowed', 'Divorced ', 'Now married (except separated)', 'Never married']",,,,,
B12002G,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER ,,,,,,,,
B12002G,dimensions,,Sex,Marital Status,,,,,
B12002G,values,['Total:'],"['Male:', 'Female:']","['Separated', '', 'Widowed', 'Divorced ', 'Now married (except separated)', 'Never married']",,,,,
B12002H,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER ,,,,,,,,
B12002H,dimensions,,Sex,Marital Status,,,,,
B12002H,values,['Total:'],"['Male:', 'Female:']","['Separated', '', 'Widowed', 'Divorced ', 'Now married (except separated)', 'Never married']",,,,,
B12002I,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER ,,,,,,,,
B12002I,dimensions,,Sex,Marital Status,,,,,
B12002I,values,['Total:'],"['Male:', 'Female:']","['Separated', '', 'Widowed', 'Divorced ', 'Now married (except separated)', 'Never married']",,,,,
B12006,MARITAL STATUS BY SEX BY LABOR FORCE PARTICIPATION,,,,,,,,
B12006,dimensions,,Marital Status,Sex,Labor Force Participation,Labor Force Participation,,,
B12006,values,['Total:'],"['Divorced:', 'Never married:', 'Separated:', 'Now married (except separated):', 'Widowed:']","['', 'Male:', 'Female:']","['', 'Not in labor force', 'In labor force:']","['', 'Unemployed', 'Employed or in Armed Forces']",,,
B12007,MEDIAN AGE AT FIRST MARRIAGE,,,,,,,,
B12007,dimensions,,Sex,,,,,,
B12007,values,['Median age at first marriage --'],"['Male', 'Female']",,,,,,
B12007A,MEDIAN AGE AT FIRST MARRIAGE ,,,,,,,,
B12007A,dimensions,,Sex,,,,,,
B12007A,values,['Median age at first marriage --'],"['Male', 'Female']",,,,,,
B12007B,MEDIAN AGE AT FIRST MARRIAGE ,,,,,,,,
B12007B,dimensions,,Sex,,,,,,
B12007B,values,['Median age at first marriage --'],"['Male', 'Female']",,,,,,
B12007C,MEDIAN AGE AT FIRST MARRIAGE ,,,,,,,,
B12007C,dimensions,,Sex,,,,,,
B12007C,values,['Median age at first marriage --'],"['Male', 'Female']",,,,,,
B12007D,MEDIAN AGE AT FIRST MARRIAGE ,,,,,,,,
B12007D,dimensions,,Sex,,,,,,
B12007D,values,['Median age at first marriage --'],"['Male', 'Female']",,,,,,
B12007E,MEDIAN AGE AT FIRST MARRIAGE ,,,,,,,,
B12007E,dimensions,,Sex,,,,,,
B12007E,values,['Median age at first marriage --'],"['Male', 'Female']",,,,,,
B12007F,MEDIAN AGE AT FIRST MARRIAGE ,,,,,,,,
B12007F,dimensions,,Sex,,,,,,
B12007F,values,['Median age at first marriage --'],"['Male', 'Female']",,,,,,
B12007G,MEDIAN AGE AT FIRST MARRIAGE ,,,,,,,,
B12007G,dimensions,,Sex,,,,,,
B12007G,values,['Median age at first marriage --'],"['Male', 'Female']",,,,,,
B12007H,MEDIAN AGE AT FIRST MARRIAGE ,,,,,,,,
B12007H,dimensions,,Sex,,,,,,
B12007H,values,['Median age at first marriage --'],"['Male', 'Female']",,,,,,
B12007I,MEDIAN AGE AT FIRST MARRIAGE ,,,,,,,,
B12007I,dimensions,,Sex,,,,,,
B12007I,values,['Median age at first marriage --'],"['Male', 'Female']",,,,,,
B12501,MARRIAGES IN THE LAST YEAR BY SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER,,,,,,,,
B12501,dimensions,,Sex,Marital Status,Marital Events in Last Year,,,,
B12501,values,['Total:'],"['Male:', 'Female:']","['', 'Ever married:', 'Never married']","['', 'Not married last year', 'Married last year']",,,,
B12502,MARRIAGES ENDING IN WIDOWHOOD IN THE LAST YEAR BY SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER,,,,,,,,
B12502,dimensions,,Sex,Marital Status,Marital Events in Last Year,,,,
B12502,values,['Total:'],"['Male:', 'Female: ']","['', 'Ever married:', 'Never married']","['Not widowed last year', '', 'Widowed last year']",,,,
B12503,DIVORCES IN THE LAST YEAR BY SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER,,,,,,,,
B12503,dimensions,,Sex,Marital Status,Marital Events in Last Year,,,,
B12503,values,['Total:'],"['Male:', 'Female: ']","['', 'Ever married:', 'Never married']","['', 'Divorced last year', 'Not divorced last year']",,,,
B12504,MEDIAN DURATION OF CURRENT MARRIAGE IN YEARS BY SEX BY MARITAL STATUS FOR THE MARRIED POPULATION 15 YEARS AND OVER,,,,,,,,
B12504,dimensions,,Sex,Marital Status,,,,,
B12504,values,['Total:'],"['Male:', 'Female:']","['Separated', '', 'Married, spouse present', 'Married, spouse absent']",,,,,
B12505,NUMBER OF TIMES MARRIED BY SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER,,,,,,,,
B12505,dimensions,,Sex,Marital Status,Marriages,,,,
B12505,values,['Total:'],"['Male: ', 'Female: ']","['', 'Ever married:', 'Never married']","['', 'Three or more times', 'Two times', 'Once']",,,,
B13002,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND AGE,,,,,,,,
B13002,dimensions,,Births in last year,Marital Status,Age,,,,
B13002,values,['Total:'],"['Women who had a birth in the past 12 months:', 'Women who did not have a birth in the past 12 months:']","['', 'Unmarried (never married, widowed, and divorced):', 'Now married (including separated and spouse absent):']","['', '20 to 34 years old', '35 to 50 years old', '15 to 19 years old']",,,,
B13002A,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS ,,,,,,,,
B13002A,dimensions,,Births in last year,Marital Status,,,,,
B13002A,values,['Total:'],"['Women who had a birth in the past 12 months:', 'Women who did not have a birth in the past 12 months:']","['', 'Unmarried (never married, widowed and divorced)', 'Now married (including separated and spouse absent)']",,,,,
B13002B,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS ,,,,,,,,
B13002B,dimensions,,Births in last year,Marital Status,,,,,
B13002B,values,['Total:'],"['Women who had a birth in the past 12 months:', 'Women who did not have a birth in the past 12 months:']","['', 'Unmarried (never married, widowed and divorced)', 'Now married (including separated and spouse absent)']",,,,,
B13002C,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS ,,,,,,,,
B13002C,dimensions,,Births in last year,Marital Status,,,,,
B13002C,values,['Total:'],"['Women who had a birth in the past 12 months:', 'Women who did not have a birth in the past 12 months:']","['', 'Unmarried (never married, widowed and divorced)', 'Now married (including separated and spouse absent)']",,,,,
B13002D,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS ,,,,,,,,
B13002D,dimensions,,Births in last year,Marital Status,,,,,
B13002D,values,['Total:'],"['Women who had a birth in the past 12 months:', 'Women who did not have a birth in the past 12 months:']","['', 'Unmarried (never married, widowed and divorced)', 'Now married (including separated and spouse absent)']",,,,,
B13002E,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS ,,,,,,,,
B13002E,dimensions,,Births in last year,Marital Status,,,,,
B13002E,values,['Total:'],"['Women who had a birth in the past 12 months:', 'Women who did not have a birth in the past 12 months:']","['', 'Unmarried (never married, widowed and divorced)', 'Now married (including separated and spouse absent)']",,,,,
B13002F,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS ,,,,,,,,
B13002F,dimensions,,Births in last year,Marital Status,,,,,
B13002F,values,['Total:'],"['Women who had a birth in the past 12 months:', 'Women who did not have a birth in the past 12 months:']","['', 'Unmarried (never married, widowed and divorced)', 'Now married (including separated and spouse absent)']",,,,,
B13002G,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS ,,,,,,,,
B13002G,dimensions,,Births in last year,Marital Status,,,,,
B13002G,values,['Total:'],"['Women who had a birth in the past 12 months:', 'Women who did not have a birth in the past 12 months:']","['', 'Unmarried (never married, widowed and divorced)', 'Now married (including separated and spouse absent)']",,,,,
B13002H,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS ,,,,,,,,
B13002H,dimensions,,Births in last year,Marital Status,,,,,
B13002H,values,['Total:'],"['Women who had a birth in the past 12 months:', 'Women who did not have a birth in the past 12 months:']","['', 'Unmarried (never married, widowed and divorced)', 'Now married (including separated and spouse absent)']",,,,,
B13002I,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS ,,,,,,,,
B13002I,dimensions,,Births in last year,Marital Status,,,,,
B13002I,values,['Total:'],"['Women who had a birth in the past 12 months:', 'Women who did not have a birth in the past 12 months:']","['', 'Unmarried (never married, widowed and divorced)', 'Now married (including separated and spouse absent)']",,,,,
B13004,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND PRESENCE OF UNMARRIED PARTNER,,,,,,,,
B13004,dimensions,,Births in last year,Marital Status,Marital Status,,,,
B13004,values,['Total:'],"['Women who had a birth in the past 12 months:', 'Women who did not have a birth in the past 12 months:']","['', 'Now married (including separated and spouse absent)', 'Unmarried (never married, widowed and divorced):']","['', 'Not an unmarried partner', 'Partner in an unmarried partner household']",,,,
B13008,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND NATIVITY,,,,,,,,
B13008,dimensions,,Births in last year,Marital Status,Nativity,,,,
B13008,values,['Total:'],"['Women who had a birth in the past 12 months:', 'Women who did not have a birth in the past 12 months:']","['', 'Unmarried (never married, widowed and divorced):', 'Now married (including separated and spouse absent):']","['', 'Foreign born', 'Native']",,,,
B13010,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND POVERTY STATUS IN THE PAST 12 MONTHS,,,,,,,,
B13010,dimensions,,Births in last year,Marital Status,Poverty Status,,,,
B13010,values,['Total:'],"['Women who had a birth in the past 12 months:', 'Women who did not have a birth in the past 12 months:']","['', 'Unmarried (never married, widowed and divorced):', 'Now married (including separated and spouse absent):']","['', '200 percent or more of poverty level in the past 12 months', '100 to 199 percent of poverty level in the past 12 months', 'Below 100 percent of poverty level in the past 12 months']",,,,
B13012,WOMEN 16 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND LABOR FORCE STATUS,,,,,,,,
B13012,dimensions,,Births in last year,Marital Status,Labor Force Participation,,,,
B13012,values,['Total:'],"['Women who had a birth in the past 12 months:', 'Women who did not have a birth in the past 12 months:']","['', 'Unmarried (never married, widowed and divorced):', 'Now married (including separated and spouse absent):']","['', 'Not in labor force', 'In labor force']",,,,
B13014,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND EDUCATIONAL ATTAINMENT,,,,,,,,
B13014,dimensions,,Births in last year,Marital Status,Educational Attainment,,,,
