q_id,Category,Universe,Question Name
B07411PR,Residence Last Year - Migration,population 15 years and over with income in the past 12 months,MEDIAN INCOME IN THE PAST 12 MONTHS  BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO
B07412,Residence Last Year - Migration,population 1 year and over in the united states for whom poverty status is determined,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY POVERTY STATUS IN THE PAST 12 MONTHS FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES
B07412PR,Residence Last Year - Migration,population 1 year and over for whom poverty status is determined,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY POVERTY STATUS IN THE PAST 12 MONTHS FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO
B07413,Residence Last Year - Migration,population 1 year and over in households in the united states,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY TENURE FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES
B07413PR,Residence Last Year - Migration,population 1 year and over in households,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY TENURE FOR RESIDENCE 1 YEAR AGO IN PUERTO RICO
B08006,Journey to Work,workers 16 years and over,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK
B08007,Journey to Work,workers 16 years and over,SEX OF WORKERS BY PLACE OF WORK--STATE AND COUNTY LEVEL
B08008,Journey to Work,workers 16 years and over,SEX OF WORKERS BY PLACE OF WORK--PLACE LEVEL
B08009,Journey to Work,workers 16 years and over,SEX OF WORKERS BY PLACE OF WORK--MINOR CIVIL DIVISION LEVEL FOR 12 SELECTED STATES 
B08011,Journey to Work,workers 16 years and over who did not work at home,SEX OF WORKERS BY TIME LEAVING HOME TO GO TO WORK
B08012,Journey to Work,workers 16 years and over who did not work at home,SEX OF WORKERS BY TRAVEL TIME TO WORK
B08013,Journey to Work,workers 16 years and over who did not work at home,AGGREGATE TRAVEL TIME TO WORK  OF WORKERS BY SEX
B08014,Journey to Work,workers 16 years and over in households,SEX OF WORKERS BY VEHICLES AVAILABLE
B08015,Journey to Work,"workers whose means of transportation is car, truck, or van",AGGREGATE NUMBER OF VEHICLES  USED IN COMMUTING BY WORKERS 16 YEARS AND OVER BY SEX
B08016,Journey to Work,workers 16 years and over living in a metropolitan statistical area,PLACE OF WORK FOR WORKERS 16 YEARS AND OVER--METROPOLITAN STATISTICAL AREA LEVEL
B08017,Journey to Work,workers 16 years and over living in a micropolitan statistical area,PLACE OF WORK FOR WORKERS 16 YEARS AND OVER--MICROPOLITAN STATISTICAL AREA LEVEL
B08018,Journey to Work,workers 16 years and over not living in a metropolitan or micropolitan statistical area,PLACE OF WORK FOR WORKERS 16 YEARS AND OVER--NOT METROPOLITAN OR MICROPOLITAN STATISTICAL AREA LEVEL
B08101,Journey to Work,workers 16 years and over,MEANS OF TRANSPORTATION TO WORK BY AGE
B08103,Journey to Work,workers 16 years and over,MEDIAN AGE BY MEANS OF TRANSPORTATION TO WORK
B08105A,Journey to Work,white alone workers 16 years and over,MEANS OF TRANSPORTATION TO WORK 
B08105B,Journey to Work,black or african american alone workers 16 years and over,MEANS OF TRANSPORTATION TO WORK 
B08105C,Journey to Work,american indian and alaska native alone workers 16 years and over,MEANS OF TRANSPORTATION TO WORK 
B08105D,Journey to Work,asian alone workers 16 years and over,MEANS OF TRANSPORTATION TO WORK 
B08105E,Journey to Work,native hawaiian and other pacific islander alone workers 16 years and over,MEANS OF TRANSPORTATION TO WORK 
B08105F,Journey to Work,some other race alone workers 16 years and over,MEANS OF TRANSPORTATION TO WORK 
B08105G,Journey to Work,two or more races workers 16 years and over,MEANS OF TRANSPORTATION TO WORK 
B08105H,Journey to Work,"white alone, not hispanic or latino workers 16 years and over",MEANS OF TRANSPORTATION TO WORK 
B08105I,Journey to Work,hispanic or latino workers 16 years and over,MEANS OF TRANSPORTATION TO WORK 
B08111,Journey to Work,workers 16 years and over,MEANS OF TRANSPORTATION TO WORK BY CITIZENSHIP STATUS
B08113,Journey to Work,workers 16 years and over,MEANS OF TRANSPORTATION TO WORK BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH
B08119,Journey to Work,workers 16 years and over with earnings,MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS 
B08121,Journey to Work,workers 16 years and over with earnings,MEDIAN EARNINGS IN THE PAST 12 MONTHS  BY MEANS OF TRANSPORTATION TO WORK
B08122,Journey to Work,workers 16 years and over for whom poverty status is determined,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS
B08124,Journey to Work,workers 16 years and over,MEANS OF TRANSPORTATION TO WORK BY OCCUPATION
B08126,Journey to Work,workers 16 years and over,MEANS OF TRANSPORTATION TO WORK BY INDUSTRY
B08128,Journey to Work,workers 16 years and over,MEANS OF TRANSPORTATION TO WORK BY CLASS OF WORKER
B08130,Journey to Work,workers 16 years and over,MEANS OF TRANSPORTATION TO WORK BY PLACE OF WORK--STATE AND COUNTY LEVEL
B08131,Journey to Work,workers 16 years and over who did not work at home,AGGREGATE TRAVEL TIME TO WORK  OF WORKERS BY PLACE OF WORK--STATE AND COUNTY LEVEL
B08132,Journey to Work,workers 16 years and over who did not work at home,MEANS OF TRANSPORTATION TO WORK BY TIME LEAVING HOME TO GO TO WORK
B08133,Journey to Work,workers 16 years and over who did not work at home,AGGREGATE TRAVEL TIME TO WORK  OF WORKERS BY TIME LEAVING HOME TO GO TO WORK
B08134,Journey to Work,workers 16 years and over who did not work at home,MEANS OF TRANSPORTATION TO WORK BY TRAVEL TIME TO WORK
B08135,Journey to Work,workers 16 years and over who did not work at home,AGGREGATE TRAVEL TIME TO WORK  OF WORKERS BY TRAVEL TIME TO WORK
B08136,Journey to Work,workers 16 years and over who did not work at home,AGGREGATE TRAVEL TIME TO WORK  OF WORKERS BY MEANS OF TRANSPORTATION TO WORK
B08137,Journey to Work,workers 16 years and over in households,MEANS OF TRANSPORTATION TO WORK BY TENURE
B08141,Journey to Work,workers 16 years and over in households,MEANS OF TRANSPORTATION TO WORK BY VEHICLES AVAILABLE
B08201,Journey to Work,households,HOUSEHOLD SIZE BY VEHICLES AVAILABLE
B08202,Journey to Work,households,HOUSEHOLD SIZE BY NUMBER OF WORKERS IN HOUSEHOLD
B08203,Journey to Work,households,NUMBER OF WORKERS IN HOUSEHOLD BY VEHICLES AVAILABLE
B08301,Journey to Work,workers 16 years and over,MEANS OF TRANSPORTATION TO WORK
B08302,Journey to Work,workers 16 years and over who did not work at home,TIME LEAVING HOME TO GO TO WORK
B08303,Journey to Work,workers 16 years and over who did not work at home,TRAVEL TIME TO WORK
B08406,Journey to Work,workers 16 years and over,SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY
B08412,Journey to Work,universe: workers 16 years and over who did not work at home,SEX OF WORKERS BY TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY
B08501,Journey to Work,workers 16 years and over,MEANS OF TRANSPORTATION TO WORK BY AGE FOR WORKPLACE GEOGRAPHY
B08503,Journey to Work,workers 16 years and over,MEDIAN AGE BY MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY
B08505A,Journey to Work,white alone workers 16 years and over,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY 
B08505B,Journey to Work,black or african american alone workers 16 years and over,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY 
B08505C,Journey to Work,american indian and alaska native alone workers 16 years and over,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY 
B08505D,Journey to Work,asian alone workers 16 years and over,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY 
B08505E,Journey to Work,native hawaiian and other pacific islander alone workers 16 years and over,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY 
B08505F,Journey to Work,some other race alone workers 16 years and over,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY 
B08505G,Journey to Work,two or more races workers 16 years and over,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY 
B08505H,Journey to Work,"white alone, not hispanic or latino workers 16 years and over",MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY 
B08505I,Journey to Work,hispanic or latino workers 16 years and over,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY 
B08511,Journey to Work,workers 16 years and over,MEANS OF TRANSPORTATION TO WORK BY CITIZENSHIP STATUS FOR WORKPLACE GEOGRAPHY
B08513,Journey to Work,workers 16 years and over,MEANS OF TRANSPORTATION TO WORK BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR WORKPLACE GEOGRAPHY
B08519,Journey to Work,workers 16 years and over with earnings,MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS  FOR WORKPLACE GEOGRAPHY
B08521,Journey to Work,workers 16 years and over with earnings,MEDIAN EARNINGS IN THE PAST 12 MONTHS  BY MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY
B08522,Journey to Work,workers 16 years and over for whom poverty status is determined,MEANS OF TRANSPORTATION TO WORK BY POVERTY STATUS IN THE PAST 12 MONTHS FOR WORKPLACE GEOGRAPHY
B08524,Journey to Work,workers 16 years and over,MEANS OF TRANSPORTATION TO WORK BY OCCUPATION FOR WORKPLACE GEOGRAPHY
B08526,Journey to Work,workers 16 years and over,MEANS OF TRANSPORTATION TO WORK BY INDUSTRY FOR WORKPLACE GEOGRAPHY
B08528,Journey to Work,workers 16 years and over,MEANS OF TRANSPORTATION TO WORK BY CLASS OF WORKER FOR WORKPLACE GEOGRAPHY
B08532,Journey to Work,workers 16 years and over who did not work at home,MEANS OF TRANSPORTATION TO WORK BY TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY
B08534,Journey to Work,universe: workers 16 years and over who did not work at home,MEANS OF TRANSPORTATION TO WORK BY TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY
B08536,Journey to Work,workers 16 years and over who did not work at home,AGGREGATE TRAVEL TIME TO WORK  OF WORKERS BY MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY
B08537,Journey to Work,workers 16 years and over in households,MEANS OF TRANSPORTATION TO WORK BY TENURE FOR WORKPLACE GEOGRAPHY
B08541,Journey to Work,workers 16 years and over in households,MEANS OF TRANSPORTATION TO WORK BY VEHICLES AVAILABLE FOR WORKPLACE GEOGRAPHY
B08601,Journey to Work,workers 16 years and over,MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY
B08602,Journey to Work,workers 16 years and over who did not work at home,TIME ARRIVING AT WORK FROM HOME FOR WORKPLACE GEOGRAPHY
B08603,Journey to Work,universe: workers 16 years and over who did not work at home,TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY
B08604,Journey to Work,workers 16 years and over,WORKER POPULATION FOR WORKPLACE GEOGRAPHY
B09001,Children - Relationship,population under 18 years,POPULATION UNDER 18 YEARS BY AGE
B09002,Children - Relationship,own children under 18 years,OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE
B09005,Children - Relationship,"population under 18 years in households (excluding householders, spouses, and unmarried partners)",HOUSEHOLD TYPE FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS 
B09008,Children - Relationship,"population under 18 years in households (excluding householders, spouses, and unmarried partners)",PRESENCE OF UNMARRIED PARTNER OF HOUSEHOLDER BY HOUSEHOLD TYPE FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS
B09010,Children - Relationship,population under 18 years in households,"RECEIPT OF SUPPLEMENTAL SECURITY INCOME , CASH PUBLIC ASSISTANCE INCOME, OR FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY HOUSEHOLD TYPE FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS"
B09018,Children - Relationship,"population under 18 years in households (excluding householders, spouses, and unmarried partners)",RELATIONSHIP TO HOUSEHOLDER FOR CHILDREN UNDER 18 YEARS IN HOUSEHOLDS
B09019,Children - Relationship,total population,HOUSEHOLD TYPE  BY RELATIONSHIP
B09020,Children - Relationship,population 65 years and over,RELATIONSHIP BY HOUSEHOLD TYPE  FOR THE POPULATION 65 YEARS AND OVER
B09021,Children - Relationship,universe: population 18 years and over in households,LIVING ARRANGEMENTS OF ADULTS 18 YEARS AND OVER IN THE UNITED STATES
B10001,Grand(Persons) - Age of HH Members,grandchildren under 18 living with grandparent householder,GRANDCHILDREN UNDER 18 YEARS LIVING WITH A GRANDPARENT HOUSEHOLDER BY AGE OF GRANDCHILD
B10002,Grand(Persons) - Age of HH Members,grandchildren under 18 living with grandparent householder,GRANDCHILDREN UNDER 18 YEARS LIVING WITH A GRANDPARENT HOUSEHOLDER BY GRANDPARENT RESPONSIBILITY AND PRESENCE OF PARENT
B10010,Grand(Persons) - Age of HH Members,universe: families with grandparent householders and/or spouses living with grandchildren,MEDIAN FAMILY INCOME FOR FAMILIES WITH GRANDPARENT HOUSEHOLDERS AND/OR SPOUSES LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND PRESENCE OF PARENT OF GRANDCHILDREN
B10050,Grand(Persons) - Age of HH Members,population 30 years and over,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN BY LENGTH OF TIME RESPONSIBLE FOR OWN GRANDCHILDREN FOR THE POPULATION 30 YEARS AND OVER
B10051,Grand(Persons) - Age of HH Members,grandparents living with own grandchildren under 18 years,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN BY PRESENCE OF PARENT OF GRANDCHILDREN AND AGE OF GRANDPARENT
B10051A,Grand(Persons) - Age of HH Members,grandparents (white alone) living with own grandchildren under 18 years,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT 
B10051B,Grand(Persons) - Age of HH Members,grandparents (black or african american alone) living with own grandchildren under 18 years,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT 
B10051C,Grand(Persons) - Age of HH Members,grandparents (american indian and alaska native alone) living with own grandchildren under 18 years,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT 
B10051D,Grand(Persons) - Age of HH Members,grandparents (asian alone) living with own grandchildren under 18 years,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT 
B10051E,Grand(Persons) - Age of HH Members,grandparents (native hawaiian and other pacific islander alone) living with own grandchildren under 18 years,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT 
B10051F,Grand(Persons) - Age of HH Members,grandparents (some other race alone) living with own grandchildren under 18 years,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT 
B10051G,Grand(Persons) - Age of HH Members,grandparents (two or more races) living with own grandchildren under 18 years,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT 
B10051H,Grand(Persons) - Age of HH Members,"grandparents (white alone, not hispanic or latino) living with own grandchildren under 18 years",GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT 
B10051I,Grand(Persons) - Age of HH Members,grandparents (hispanic or latino) living with own grandchildren under 18 years,GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT 
B10052,Grand(Persons) - Age of HH Members,civilian grandparents living with own grandchildren under 18 years,DISABILITY STATUS OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT
B10053,Grand(Persons) - Age of HH Members,grandparents living with own grandchildren under 18 years,NATIVITY BY GRANDPARENTS RESPONSIBLE FOR OWN GRANDCHILDREN UNDER 18 YEARS BY AGE OF GRANDPARENT
B10054,Grand(Persons) - Age of HH Members,grandparents living with own grandchildren under 18 years,LANGUAGE AND ABILITY TO SPEAK ENGLISH OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT
B10056,Grand(Persons) - Age of HH Members,grandparents living with own grandchildren under 18 years,SEX OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT
B10057,Grand(Persons) - Age of HH Members,grandparents living with own grandchildren under 18 years,MARITAL STATUS BY GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT
B10058,Grand(Persons) - Age of HH Members,grandparents living with own grandchildren under 18 years,EMPLOYMENT STATUS OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT
B10059,Grand(Persons) - Age of HH Members,grandparents living with own grandchildren under 18 years for whom poverty status is determined,POVERTY STATUS IN THE PAST 12 MONTHS OF GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND AGE OF GRANDPARENT
B10063,Grand(Persons) - Age of HH Members,households,HOUSEHOLDS WITH GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND PRESENCE OF PARENT OF GRANDCHILDREN
B11001,Households - Families,households,HOUSEHOLD TYPE 
B11001A,Households - Families,households with a householder who is white alone,HOUSEHOLD TYPE  
B11001B,Households - Families,households with a householder who is black or african american alone,HOUSEHOLD TYPE  
B11001C,Households - Families,households with a householder who is american indian and alaska native alone,HOUSEHOLD TYPE  
B11001D,Households - Families,households with a householder who is asian alone,HOUSEHOLD TYPE  
B11001E,Households - Families,households with a householder who is native hawaiian and other pacific islander alone,HOUSEHOLD TYPE  
B11001F,Households - Families,households with a householder who is some other race alone,HOUSEHOLD TYPE  
B11001G,Households - Families,households with a householder who is two or more races,HOUSEHOLD TYPE  
B11001H,Households - Families,"households with a householder who is white alone, not hispanic or latino",HOUSEHOLD TYPE  
B11001I,Households - Families,households with a householder who is hispanic or latino,HOUSEHOLD TYPE  
B11002,Households - Families,population in households,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS
B11002A,Households - Families,population in households with a householder who is white alone,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS 
B11002B,Households - Families,population in households with a householder who is black or african american alone,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS 
B11002C,Households - Families,population in households with a householder who is american indian and alaska native alone,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS 
B11002D,Households - Families,population in households with a householder who is asian alone,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS 
B11002E,Households - Families,population in households with a householder who is native hawaiian and other pacific islander alone,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS 
B11002F,Households - Families,population in households with a householder who is some other race alone,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS 
B11002G,Households - Families,population in households with a householder who is two or more races,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS 
B11002H,Households - Families,"population in households with a householder who is white alone, not hispanic or latino",HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS 
B11002I,Households - Families,population in households with a householder who is hispanic or latino,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS 
B11003,Households - Families,families,FAMILY TYPE BY PRESENCE AND AGE OF OWN CHILDREN UNDER 18 YEARS
B11004,Households - Families,families,FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN UNDER 18 YEARS
B11005,Households - Families,households,HOUSEHOLDS BY PRESENCE OF PEOPLE UNDER 18 YEARS BY HOUSEHOLD TYPE
B11006,Households - Families,households,HOUSEHOLDS BY PRESENCE OF PEOPLE 60 YEARS AND OVER BY HOUSEHOLD TYPE
B11007,Households - Families,households,"HOUSEHOLDS BY PRESENCE OF PEOPLE 65 YEARS AND OVER, HOUSEHOLD SIZE AND HOUSEHOLD TYPE"
B11009,Households - Families,households,UNMARRIED-PARTNER HOUSEHOLDS BY SEX OF PARTNER
B11010,Households - Families,nonfamily households,NONFAMILY HOUSEHOLDS BY SEX OF HOUSEHOLDER BY LIVING ALONE BY AGE OF HOUSEHOLDER
B11011,Households - Families,households,HOUSEHOLD TYPE BY UNITS IN STRUCTURE
B11013,Households - Families,subfamilies,SUBFAMILY TYPE BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS
B11014,Households - Families,population in subfamilies,POPULATION IN SUBFAMILIES BY SUBFAMILY TYPE BY RELATIONSHIP
B11015,Households - Families,households,HOUSEHOLDS BY PRESENCE OF NONRELATIVES
B11016,Households - Families,households,HOUSEHOLD TYPE BY HOUSEHOLD SIZE
B11017,Households - Families,total households,MULTIGENERATIONAL HOUSEHOLDS
B12001,Marital Status,population 15 years and over,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
B12002,Marital Status,population 15 years and over,SEX BY MARITAL STATUS BY AGE FOR THE POPULATION 15 YEARS AND OVER
B12002A,Marital Status,white alone population 15 years and over,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER 
B12002B,Marital Status,black or african american alone population 15 years and over,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER 
B12002C,Marital Status,american indian and alaska native alone population 15 years and over,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER 
B12002D,Marital Status,asian alone population 15 years and over,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER 
B12002E,Marital Status,native hawaiian and other pacific islander alone population 15 years and over,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER 
B12002F,Marital Status,some other race alone population 15 years and over,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER 
B12002G,Marital Status,two or more races population 15 years and over,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER 
B12002H,Marital Status,"white alone, not hispanic or latino population 15 years and over",SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER 
B12002I,Marital Status,hispanic or latino population 15 years and over,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER 
B12006,Marital Status,population 16 years and over,MARITAL STATUS BY SEX BY LABOR FORCE PARTICIPATION
B12007,Marital Status,population 15 to 54 years,MEDIAN AGE AT FIRST MARRIAGE
B12007A,Marital Status,white alone population 15 to 54 years,MEDIAN AGE AT FIRST MARRIAGE 
B12007B,Marital Status,black or african american alone population 15 to 54 years,MEDIAN AGE AT FIRST MARRIAGE 
B12007C,Marital Status,american indian and alaska native alone population 15 to 54 years,MEDIAN AGE AT FIRST MARRIAGE 
B12007D,Marital Status,asian alone population 15 to 54 years,MEDIAN AGE AT FIRST MARRIAGE 
B12007E,Marital Status,native hawaiian and other pacific islander alone population 15 to 54 years,MEDIAN AGE AT FIRST MARRIAGE 
B12007F,Marital Status,some other race alone population 15 to 54 years,MEDIAN AGE AT FIRST MARRIAGE 
B12007G,Marital Status,two or more races population 15 to 54 years,MEDIAN AGE AT FIRST MARRIAGE 
B12007H,Marital Status,"white alone, not hispanic or latino population 15 to 54 years",MEDIAN AGE AT FIRST MARRIAGE 
B12007I,Marital Status,hispanic or latino population 15 to 54 years,MEDIAN AGE AT FIRST MARRIAGE 
B12501,Marital Status,universe: population 15 years and over,MARRIAGES IN THE LAST YEAR BY SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
B12502,Marital Status,universe: population 15 years and over,MARRIAGES ENDING IN WIDOWHOOD IN THE LAST YEAR BY SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
B12503,Marital Status,universe: population 15 years and over,DIVORCES IN THE LAST YEAR BY SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
B12504,Marital Status,universe: population 15 years and over who are now married or separated,MEDIAN DURATION OF CURRENT MARRIAGE IN YEARS BY SEX BY MARITAL STATUS FOR THE MARRIED POPULATION 15 YEARS AND OVER
B12505,Marital Status,universe: population 15 years and over,NUMBER OF TIMES MARRIED BY SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER
B13002,Fertility,women 15 to 50 years,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND AGE
B13002A,Fertility,white alone women 15 to 50 years,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS 
B13002B,Fertility,black or african american alone women 15 to 50 years,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS 
B13002C,Fertility,american indian and alaska native alone women 15 to 50 years,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS 
B13002D,Fertility,asian alone women 15 to 50 years,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS 
B13002E,Fertility,native hawaiian and other pacific islander alone women 15 to 50 years,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS 
B13002F,Fertility,some other race alone women 15 to 50 years,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS 
B13002G,Fertility,two or more races women 15 to 50 years,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS 
B13002H,Fertility,"white alone, not hispanic or latino women 15 to 50 years",WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS 
B13002I,Fertility,hispanic or latino women 15 to 50 years,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS 
B13004,Fertility,women 15 to 50 years in households,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND PRESENCE OF UNMARRIED PARTNER
B13008,Fertility,women 15 to 50 years,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND NATIVITY
